RegionID,SizeRank,RegionName,RegionType,State,Metro,CountyName,Rent
16764,64,Anaheim,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2690.7613683653
48215,65,Vancouver,city,WA,"Portland-Vancouver-Hillsboro, OR-WA",Clark County,1805.70775950099
7266,67,Stockton,city,CA,"Stockton, CA",San Joaquin County,1989.25888592891
12562,68,Marietta,city,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,1716.30002271179
4174,69,Columbia,city,SC,"Columbia, SC",Richland County,1465.06034192288
11722,70,Greensboro,city,NC,"Greensboro-High Point, NC",Guilford County,1381.66430167418
18170,71,Fort Wayne,city,IN,"Fort Wayne, IN",Allen County,1152.71835016835
25574,72,Lexington,city,KY,"Lexington-Fayette, KY",Fayette County,1552.67881619729
19533,73,Naples,city,FL,"Naples-Marco Island, FL",Collier County,2699.46288048836
11867,74,Henderson,city,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1793.21524522918
38025,75,Corpus Christi,city,TX,"Corpus Christi, TX",Nueces County,1429.6343060232
6891,76,Saint Louis,city,MO,"St. Louis, MO-IL",Saint Louis City,1298.43705698785
47568,77,Santa Ana,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2752.14434434434
24457,78,Durham,city,NC,"Durham-Chapel Hill, NC",Durham County,1614.64678707102
7081,79,Silver Spring,city,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,2033.33955333794
20313,80,Saint Paul,city,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Ramsey County,1504.28929283291
20604,81,Spokane,city,WA,"Spokane-Spokane Valley, WA",Spokane County,1480.09009359652
12970,82,Newark,city,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,2200.25751428777
13478,83,Reno,city,NV,"Reno, NV",Washoe County,1857.60260954642
26922,84,Saint Petersburg,city,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,2084.63751303884
52650,85,Irvine,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,3471.22999754021
32503,86,Lincoln,city,NE,"Lincoln, NE",Lancaster County,1259.52179621849
34303,87,Toledo,city,OH,"Toledo, OH",Lucas County,1078.19454858867
17384,88,Chandler,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1881.43502081252
47945,89,Tallahassee,city,FL,"Tallahassee, FL",Leon County,1476.01883400939
25320,90,Jersey City,city,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,3001.87579876758
53915,91,Plano,city,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,1727.2992028445
53060,92,Lubbock,city,TX,"Lubbock, TX",Lubbock County,1337.07908172443
25934,93,Modesto,city,CA,"Modesto, CA",Stanislaus County,2029.26970801505
18800,94,Katy,city,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1946.50741532977
5573,95,Lawrenceville,city,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1922.43610508905
51405,96,Chula Vista,city,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2948.47879956882
3737,97,Boise,city,ID,"Boise City, ID",Ada County,1727.50890807425
6752,98,Richmond,city,VA,"Richmond, VA",Richmond City,1565.90770873635
4888,99,Gilbert,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2096.51894479637
41760,100,Winston-Salem,city,NC,"Winston-Salem, NC",Forsyth County,1468.46612254207
398849,101,Madison,city,WI,"Madison, WI",Dane County,1624.19888186395
52893,102,Laredo,city,TX,"Laredo, TX",Webb County,1295.78577441077
26187,103,North Las Vegas,city,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1831.30823693658
20328,104,San Bernardino,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,1985.73083116561
25483,105,Lakeland,city,FL,"Lakeland-Winter Haven, FL",Polk County,1697.58726906063
31614,106,Fort Myers,city,FL,"Cape Coral-Fort Myers, FL",Lee County,1718.97998564548
12065,107,Irving,city,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1576.525457107
32900,108,Mobile,city,AL,"Mobile, AL",Mobile County,1221.42403639371
18298,109,Glendale,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1590.03375462673
53856,110,Pensacola,city,FL,"Pensacola-Ferry Pass-Brent, FL",Escambia County,1586.79280802153
23482,111,Anchorage,city,AK,"Anchorage, AK",Anchorage Borough,1652.09842163009
44564,112,Chesapeake,city,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake City,2029.34839334108
20362,113,Sarasota,city,FL,"North Port-Sarasota-Bradenton, FL",Sarasota County,2180.5225931677
52001,114,Fayetteville,city,NC,"Fayetteville, NC",Cumberland County,1420.51573406833
10417,115,Birmingham,city,AL,"Birmingham-Hoover, AL",Jefferson County,1296.04410761388
25104,116,Hialeah,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2430.15098988313
18251,117,Garland,city,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1597.44697502283
18847,118,Kissimmee,city,FL,"Orlando-Kissimmee-Sanford, FL",Osceola County,1980.02643874644
30258,119,Arlington,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County,2557.26307050068
54346,120,Scottsdale,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2064.61300947854
6210,121,Norfolk,city,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk City,1639.52773872748
53673,122,Ocala,city,FL,"Ocala, FL",Marion County,1599.18513708514
54311,123,Santa Clarita,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2792.83072382546
11540,124,Fremont,city,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,2989.13263440363
24741,125,Fontana,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2909.51738183196
7222,126,Springfield,city,MO,"Springfield, MO",Greene County,1245.94466501241
24960,127,Greenville,city,SC,"Greenville-Anderson, SC",Greenville County,1550.47287922621
10477,128,Boca Raton,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2896.44364731221
11671,129,Grand Rapids,city,MI,"Grand Rapids-Kentwood, MI",Kent County,1828.36145009674
44282,130,Bradenton,city,FL,"North Port-Sarasota-Bradenton, FL",Manatee County,1771.48565093708
52998,131,Little Rock,city,AR,"Little Rock-North Little Rock-Conway, AR",Pulaski County,1157.68790726817
24821,132,Gainesville,city,FL,"Gainesville, FL",Alachua County,1656.47731356694
33501,133,Port Saint Lucie,city,FL,"Port St. Lucie, FL",Saint Lucie County,2352.05682472531
27362,134,Tacoma,city,WA,"Seattle-Tacoma-Bellevue, WA",Pierce County,1749.20145046524
14701,135,Woodbridge,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,2154.76563958917
16753,136,Amarillo,city,TX,"Amarillo, TX",Randall County,1212.07168209877
17759,137,Des Moines,city,IA,"Des Moines-West Des Moines, IA",Polk County,1144.86666666667
47584,138,Savannah,city,GA,"Savannah, GA",Chatham County,1752.43111313101
13150,139,Oxnard,city,CA,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,2841.46559618442
26967,140,Santa Rosa,city,CA,"Santa Rosa-Petaluma, CA",Sonoma County,2511.84905281557
12014,141,Huntsville,city,AL,"Huntsville, AL",Madison County,1321.4723403073
30141,142,Akron,city,OH,"Akron, OH",Summit County,1140.79272727273
21320,143,Wilmington,city,NC,"Wilmington, NC",New Hanover County,1673.83608117449
51167,144,Brownsville,city,TX,"Brownsville-Harlingen, TX",Cameron County,1513.49633699634
34937,145,Yonkers,city,NY,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,2604.80150972086
38438,146,Eugene,city,OR,"Eugene-Springfield, OR",Lane County,1946.62426364251
24225,147,Corona,city,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,2704.90867208672
31184,148,Dayton,city,OH,"Dayton-Kettering, OH",Montgomery County,1128.80969736868
7353,149,Syracuse,city,NY,"Syracuse, NY",Onondaga County,1587.9846743295
32931,150,Montgomery,city,AL,"Montgomery, AL",Montgomery County,1300.79595224299
10071,151,Alexandria,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,2299.29262090566
6285,152,Oceanside,city,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2841.0979718246
41279,153,Trenton,city,NJ,"Trenton-Princeton, NJ",Mercer County,2148.52954292085
25981,154,Moreno Valley,city,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,2349.40625
40897,155,Shreveport,city,LA,"Shreveport-Bossier City, LA",Caddo Parish,1111.21334524083
14667,156,Wilmington,city,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,1740.38956259427
19523,157,Murfreesboro,city,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Rutherford County,1669.77791005291
7858,158,West Palm Beach,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2245.51954542361
14724,159,Worcester,city,MA,"Worcester, MA-CT",Worcester County,2112.36596003899
4764,160,Fort Collins,city,CO,"Fort Collins, CO",Larimer County,1870.50053736071
6909,161,Salt Lake City,city,UT,"Salt Lake City, UT",Salt Lake County,1551.62208762366
30381,162,Beaverton,city,OR,"Portland-Vancouver-Hillsboro, OR-WA",Washington County,1830.41361987991
54288,163,Salinas,city,CA,"Salinas, CA",Monterey County,2523.74560080442
18208,164,Frisco,city,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,1804.59612191039
32783,165,McKinney,city,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,1722.34639869844
7087,166,Sioux Falls,city,SD,"Sioux Falls, SD",Minnehaha County,1226.62176302319
45457,167,Glendale,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2771.65770697168
6696,168,Reading,city,PA,"Reading, PA",Berks County,1364.06871345029
5534,169,Lancaster,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2525.4031372549
25218,170,Huntington Beach,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,3015.45754724353
30742,171,Cape Coral,city,FL,"Cape Coral-Fort Myers, FL",Lee County,1871.27938636257
25482,172,Lake Worth Beach,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2412.80797639708
18518,173,Hayward,city,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,2547.95017275868
20317,174,Salem,city,OR,"Salem, OR",Marion County,1638.13439849624
10843,175,Clarksville,city,TN,"Clarksville, TN-KY",Montgomery County,1382.05603036053
31821,176,Grand Prairie,city,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1589.86753406864
4054,177,Charleston,city,SC,"Charleston-North Charleston, SC",Charleston County,2071.51448950392
10215,178,Aurora,city,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,2194.94
40298,179,Peoria,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1814.06426484908
38119,180,Cypress,city,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1998.45735328639
26637,181,Providence,city,RI,"Providence-Warwick, RI-MA",Providence County,2218.94734057366
14634,182,Whittier,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2294.96565656566
40202,183,Overland Park,city,KS,"Kansas City, MO-KS",Johnson County,1681.60003902058
182023,184,Henrico,city,VA,"Richmond, VA",Henrico County,1641.44444444444
40227,185,Palmdale,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2642.77171717172
11529,186,Fredericksburg,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Stafford County,1985.32674671936
37837,187,Chattanooga,city,TN,"Chattanooga, TN-GA",Hamilton County,1514.45585365854
5201,188,Homestead,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2426.25844218674
44821,189,Cumming,city,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,2223.55270119744
31606,190,Fort Lauderdale,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2731.19834320825
17950,191,Elk Grove,city,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County,2637.85619297817
47426,192,Rockford,city,IL,"Rockford, IL",Winnebago County,1164.67986682335
17539,193,Columbus,city,GA,"Columbus, GA-AL",Muscogee County,1251.44801012192
31471,194,Evansville,city,IN,"Evansville, IN-KY",Vanderburgh County,1024.7126745718
11335,195,Erie,city,PA,"Erie, PA",Erie County,1064.8835978836
38328,196,Edmond,city,OK,"Oklahoma City, OK",Oklahoma County,1641.51385814179
41815,197,York,city,PA,"York-Hanover, PA",York County,1282.91874458874
13108,198,Ontario,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2478.9954866562
5424,199,Killeen,city,TX,"Killeen-Temple, TX",Bell County,1250.45979744354
16726,200,Allentown,city,PA,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,1668.44757657801
47958,201,Tempe,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1590.47708338099
24832,202,Garden Grove,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2519.31587301587
836082,203,Lancaster,city,PA,"Lancaster, PA",Lancaster County,1468.43187470592
11337,204,Escondido,city,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2497.47962962963
38333,205,El Cajon,city,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2285.85867182463
40492,206,Rancho Cucamonga,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2714.21168995457
26857,207,Round Rock,city,TX,"Austin-Round Rock-Georgetown, TX",Williamson County,1606.43574253258
26140,208,Newport News,city,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Newport News City,1559.80405534534
44734,209,Conroe,city,TX,"Houston-The Woodlands-Sugar Land, TX",Montgomery County,1555.36722648803
30559,210,Boynton Beach,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2389.26825013419
11817,211,Harrisburg,city,PA,"Harrisburg-Carlisle, PA",Dauphin County,1356.39014492754
6792,212,Roanoke,city,VA,"Roanoke, VA",Roanoke County,1353.15380405036
8097,213,Ann Arbor,city,MI,"Ann Arbor, MI",Washtenaw County,2302.82335008112
4626,215,Everett,city,WA,"Seattle-Tacoma-Bellevue, WA",Snohomish County,1923.37615079365
41114,216,Sugar Land,city,TX,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2054.32492862192
39931,217,Naperville,city,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2088.42877492877
4655,218,Fairfax,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,2310.44504888405
19892,219,Pembroke Pines,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2538.46969923563
10210,220,Augusta,city,GA,"Augusta-Richmond County, GA-SC",Richmond County,1337.78586676955
4521,221,Edinburg,city,TX,"McAllen-Edinburg-Mission, TX",Hidalgo County,1026.58688533689
41256,222,Topeka,city,KS,"Topeka, KS",Shawnee County,1120.04444444444
5519,223,Lakewood,city,CO,"Denver-Aurora-Lakewood, CO",Jefferson County,1718.97090256144
19360,224,Midland,city,TX,"Midland, TX",Midland County,1581.8160435586
47250,225,Pueblo,city,CO,"Pueblo, CO",Pueblo County,1272.99265232975
21114,226,Visalia,city,CA,"Visalia, CA",Tulare County,1867.8408004779
6286,227,Odessa,city,TX,"Odessa, TX",Ector County,1555.84551210747
51297,228,Cary,city,NC,"Raleigh-Cary, NC",Wake County,1634.31407326168
40779,229,Schenectady,city,NY,"Albany-Schenectady-Troy, NY",Schenectady County,1425.43803418803
39312,230,Lafayette,city,LA,"Lafayette, LA",Lafayette Parish,1312.46620205111
19873,231,Paterson,city,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,1995.23273809524
41324,232,Tyler,city,TX,"Tyler, TX",Smith County,1265.7791005291
51447,233,Clearwater,city,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,1975.14215050399
54626,234,Sunnyvale,city,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,3427.37924901186
39191,235,Kansas City,city,KS,"Kansas City, MO-KS",Wyandotte County,1254.34163220292
7221,236,Springfield,city,MA,"Springfield, MA",Hampden County,1869.11111111111
398300,237,Lansing,city,MI,"Lansing-East Lansing, MI",Ingham County,1211.32280701754
25514,238,Las Cruces,city,NM,"Las Cruces, NM",Dona Ana County,1386.90379928315
32626,239,Macon,city,GA,"Macon-Bibb County, GA",Bibb County,1183.18340722358
32060,240,Hollywood,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2327.6424516783
32179,241,Jackson,city,MS,"Jackson, MS",Hinds County,1337.37668276973
10918,242,Columbia,city,MO,"Columbia, MO",Boone County,1317.55774230825
20008,243,Pomona,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2699.3781512605
13594,244,Roseville,city,CA,"Sacramento-Roseville-Folsom, CA",Placer County,2432.27913926758
20555,245,South Bend,city,IN,"South Bend-Mishawaka, IN-MI",Saint Joseph County,1331.01697530864
37074,246,Albany,city,NY,"Albany-Schenectady-Troy, NY",Albany County,1565.67091836735
12694,247,Mesquite,city,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1473.04166666667
3619,248,Bellevue,city,WA,"Seattle-Tacoma-Bellevue, WA",King County,2565.45586340163
13480,249,Renton,city,WA,"Seattle-Tacoma-Bellevue, WA",King County,2172.47694495583
19865,250,Pasadena,city,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1361.3071592775
7330,251,Surprise,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1931.14760435038
4351,252,Denton,city,TX,"Dallas-Fort Worth-Arlington, TX",Denton County,1456.69981862797
47019,253,Pasadena,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2888.97073902227
6183,254,Newark,city,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,2179.92715121136
47570,255,Santa Maria,city,CA,"Santa Maria-Santa Barbara, CA",Santa Barbara County,2529.91435185185
47379,256,Richmond,city,TX,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1745.41879639771
20793,257,Thornton,city,CO,"Denver-Aurora-Lakewood, CO",Adams County,1843.38196182728
54722,258,Torrance,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2873.48632872504
27683,259,Victorville,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2193.80193236715
5399,260,Kent,city,WA,"Seattle-Tacoma-Bellevue, WA",King County,1901.79616923957
35282,261,Beaumont,city,TX,"Beaumont-Port Arthur, TX",Jefferson County,1312.19814814815
27317,262,Summerville,city,SC,"Charleston-North Charleston, SC",Dorchester County,1773.41422716628
3806,263,Bridgeport,city,CT,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,2032.69576719577
25818,264,McAllen,city,TX,"McAllen-Edinburg-Mission, TX",Hidalgo County,1272.77380952381
19172,265,Manassas,city,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,2175.97472848789
28065,266,Yuma,city,AZ,"Yuma, AZ",Yuma County,1346.9558531746
44506,268,Cedar Rapids,city,IA,"Cedar Rapids, IA",Linn County,1094.11844553914
24812,269,Fullerton,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2809.68948869871
33230,270,Olathe,city,KS,"Kansas City, MO-KS",Johnson County,1625.52828282828
51260,271,Canton,city,OH,"Canton-Massillon, OH",Stark County,1018.00337381916
46666,272,Myrtle Beach,city,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Horry County,1720.42177435133
4810,273,Frederick,city,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Frederick County,2119.09336525308
21159,274,Warren,city,MI,"Detroit-Warren-Dearborn, MI",Macomb County,1322.37046861185
26900,275,Saint Augustine,city,FL,"Jacksonville, FL",Saint Johns County,2123.84979100598
37427,276,Billings,city,MT,"Billings, MT",Yellowstone County,1415.99129204129
23394,277,Abilene,city,TX,"Abilene, TX",Taylor County,1699.29154795821
48443,278,West Valley City,city,UT,"Salt Lake City, UT",Salt Lake County,1574.1265497076
33252,279,Orange,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,3007.09606481481
5914,280,Metairie,city,LA,"New Orleans-Metairie, LA",Jefferson Parish,1593.02195340502
44879,281,Decatur,city,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,1779.95414385864
13234,282,Pearland,city,TX,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,1881.11281171357
397180,283,Kalamazoo,city,MI,"Kalamazoo-Portage, MI",Kalamazoo County,1322.92982965544
24174,284,Compton,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2355.28888888889
46101,285,Lake Charles,city,LA,"Lake Charles, LA",Calcasieu Parish,1105.1156043956
5052,286,Hampton,city,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Hampton City,1588.7962364433
39815,287,Miramar,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2756.29967225446
17551,288,Concord,city,NC,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,1733.43253968254
27239,289,Stamford,city,CT,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,2901.54826958106
11865,290,Hemet,city,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,1911.93783068783
